trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
57,0,57,0,147.36294958399958,148.36309879200053,148.36309879200053,up,0,0.6816217090017744,1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
58,0,58,0,149.0628933750013,150.0627427920008,150.0627427920008,up,1,1.4687872079994122,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
59,0,59,0,151.5630537500001,152.56295133399908,152.56295133399908,up,0,0.7119427090001409,-2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
60,0,60,0,153.29660529199828,154.2963818749995,154.2963818749995,down,0,0.7685138330016343,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
61,0,61,0,155.09621875000084,156.0961094589984,156.0961094589984,up,1,1.000536583000212,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
62,0,62,0,157.11335150000014,158.11308858399934,158.11308858399934,down,1,0.6584634159989946,-1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
63,0,63,0,158.79599733400028,159.7965878340001,159.7965878340001,down,0,0.6487687499975436,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
64,0,64,0,160.46330450000096,161.46295649999956,161.46295649999956,down,1,0.751123624999309,1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
65,0,65,0,162.2463318750015,163.24656441700063,163.24656441700063,down,0,0.5182528340010322,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
66,0,66,0,163.79594191700016,164.79637141700005,164.79637141700005,down,0,0.5485650829978113,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
67,0,67,0,165.3633251249994,166.3631204589983,166.3631204589983,down,0,0.4594167079994804,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
68,0,68,0,166.84639170900118,167.846431209,167.846431209,down,0,0.5289736249978887,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
69,0,69,0,168.39644679200137,169.39647183399939,169.39647183399939,down,0,0.7861368749981921,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
70,0,70,0,170.21282699999938,171.21344512499854,171.21344512499854,up,0,0.7849424999985786,2,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
71,0,71,0,172.0296595840009,173.02953837499808,173.02953837499808,down,1,0.8558085000004212,4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
72,0,72,0,173.91320333399926,174.91294033400118,174.91294033400118,up,0,1.383233749998908,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
73,0,73,0,176.31333649999942,177.31310812499942,177.31310812499942,down,0,1.0864924589986913,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
74,0,74,0,178.42985191700063,179.43017570899974,179.43017570899974,down,1,0.6054799159974209,-5,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
75,0,75,0,180.06310637500064,181.06339437499992,181.06339437499992,down,1,0.5025438749980822,-4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
76,0,76,0,181.59646633399825,182.59674237500076,182.59674237500076,down,1,0.5739675419972627,-1,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
77,0,77,0,183.1968554999985,184.19673404200148,184.19673404200148,down,0,1.0254735000016808,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
78,0,78,0,185.24621629199828,186.24652983399938,186.24652983399938,down,0,0.5861307499981194,0,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
79,0,79,0,186.86307662499894,187.86323062500014,187.86323062500014,down,1,0.9007760419990518,4,127451,001,2022-09-13_20h44.12.515,labpsych_exp.2,2022.2.4,60.166766995959655,
