1.4376 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
124.2998 	EXP 	New trial (rep=44, index=0): None
124.3026 	DATA 	Keypress: up
124.3127 	EXP 	fixation: autoDraw = False
124.3127 	EXP 	grating: autoDraw = False
124.3127 	EXP 	grating: ori = 4.0
124.3127 	EXP 	fixation: autoDraw = True
125.3125 	EXP 	fixation: autoDraw = False
125.3125 	EXP 	grating: autoDraw = True
125.6128 	EXP 	grating: autoDraw = False
126.0341 	EXP 	New trial (rep=45, index=0): None
126.0370 	DATA 	Keypress: down
126.0458 	EXP 	fixation: autoDraw = False
126.0458 	EXP 	grating: autoDraw = False
126.0458 	EXP 	grating: ori = 4.0
126.0458 	EXP 	fixation: autoDraw = True
127.0459 	EXP 	fixation: autoDraw = False
127.0459 	EXP 	grating: autoDraw = True
127.3456 	EXP 	grating: autoDraw = False
127.7673 	EXP 	New trial (rep=46, index=0): None
127.7701 	DATA 	Keypress: down
127.7787 	EXP 	fixation: autoDraw = False
127.7787 	EXP 	grating: autoDraw = False
127.7787 	EXP 	grating: ori = -3.0
127.7787 	EXP 	fixation: autoDraw = True
128.7789 	EXP 	fixation: autoDraw = False
128.7789 	EXP 	grating: autoDraw = True
129.0790 	EXP 	grating: autoDraw = False
129.6167 	EXP 	New trial (rep=47, index=0): None
129.6195 	DATA 	Keypress: down
129.6296 	EXP 	fixation: autoDraw = False
129.6296 	EXP 	grating: autoDraw = False
129.6296 	EXP 	grating: ori = -3.0
129.6296 	EXP 	fixation: autoDraw = True
130.6291 	EXP 	fixation: autoDraw = False
130.6291 	EXP 	grating: autoDraw = True
130.9292 	EXP 	grating: autoDraw = False
131.2169 	EXP 	New trial (rep=48, index=0): None
131.2195 	DATA 	Keypress: down
131.2296 	EXP 	fixation: autoDraw = False
131.2296 	EXP 	grating: autoDraw = False
131.2296 	EXP 	grating: ori = 0.0
131.2296 	EXP 	fixation: autoDraw = True
132.2298 	EXP 	fixation: autoDraw = False
132.2298 	EXP 	grating: autoDraw = True
132.5292 	EXP 	grating: autoDraw = False
133.1176 	EXP 	New trial (rep=49, index=0): None
133.1203 	DATA 	Keypress: up
133.1292 	EXP 	fixation: autoDraw = False
133.1292 	EXP 	grating: autoDraw = False
133.1292 	EXP 	grating: ori = 4.0
133.1292 	EXP 	fixation: autoDraw = True
